Temperature,Pressure_id,Init mol 0,Init mol 1,Init mol 2,Init mol 3,Init mol 4,Init mol 5,Init mol 6,Init mol 7,Cycles,Box 0 volume,Box 0 energy,Box 0 pressure,Box 0 mol 0,Box 0 mol 1,Box 0 mol 2,Box 0 mol 3,Box 0 mol 4,Box 0 mol 5,Box 0 mol 6,Box 0 mol 7,Box 1 volume,Box 1 energy,Box 1 pressure,Box 1 mol 0,Box 1 mol 1,Box 1 mol 2,Box 1 mol 3,Box 1 mol 4,Box 1 mol 5,Box 1 mol 6,Box 1 mol 7
450,0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,55995.0,0.0,-7100.168023,19.531401000000002,0.260062,0.0,0.0,0.0,0.0,0.0,0.0,1.70213,32532161.370825,-136.54139700000002,2.5041125,19.739938000000002,0.0,0.0,0.0,0.0,0.0,0.0,110.29787
450,0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,47218.5,0.0,-7166.203493499999,18.007322,0.440353,0.0,0.0,0.0,0.0,0.0,0.0,1.3045135,28362600.111223,-228.744666,2.4995025,39.559647,0.0,0.0,0.0,0.0,0.0,0.0,73.6954865
450,0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,40893.0,0.0,-8378.7538035,16.469189,0.8407775,0.0,0.0,0.0,0.0,0.0,0.0,0.771344,24156950.3823155,-370.15734599999996,2.4962524999999998,59.1592225,0.0,0.0,0.0,0.0,0.0,0.0,37.228656
450,0,0.0,20.0,60.0,0.0,0.0,0.0,0.0,0.0,41858.5,0.0,-58571.610776500005,64.2521965,0.0,0.0080245,7.687798,0.0,0.0,0.0,0.0,0.0,18050762.088559,-577.4846605,2.5044329999999997,0.0,19.991975500000002,52.312202,0.0,0.0,0.0,0.0,0.0
450,0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,39672.0,0.0,-35857.773851,42.610647,0.0,0.011682999999999999,4.7177109999999995,0.0,0.0,0.0,0.0,0.0,18830378.976303,-611.60254,2.498707,0.0,39.988317,35.282289000000006,0.0,0.0,0.0,0.0,0.0
450,0,0.0,60.0,20.0,0.0,0.0,0.0,0.0,0.0,39267.5,0.0,-19778.526132,24.2393315,0.0,0.01334,2.5907225,0.0,0.0,0.0,0.0,0.0,19339553.985977,-617.7690895000001,2.505161,0.0,59.98666,17.4092775,0.0,0.0,0.0,0.0,0.0
450,0,0.0,20.0,0.0,60.0,0.0,0.0,0.0,0.0,36273.0,0.0,-29284.5293025,51.200951,0.0,0.0034165000000000003,0.0,5.311915,0.0,0.0,0.0,0.0,18746709.813957997,-334.28589850000003,2.4981014999999998,0.0,19.9965835,0.0,54.688085,0.0,0.0,0.0,0.0
450,0,0.0,40.0,0.0,40.0,0.0,0.0,0.0,0.0,35270.0,0.0,-19576.215017,34.599898,0.0,0.012046000000000001,0.0,3.537153,0.0,0.0,0.0,0.0,19152600.856347002,-402.361088,2.5001145,0.0,39.987954,0.0,36.462847,0.0,0.0,0.0,0.0
450,0,0.0,60.0,0.0,20.0,0.0,0.0,0.0,0.0,39571.5,0.0,-10351.790329,18.463265,0.0,0.020159,0.0,1.855723,0.0,0.0,0.0,0.0,19552106.467093,-512.4340675,2.5024420000000003,0.0,59.979841,0.0,18.144277000000002,0.0,0.0,0.0,0.0
450,0,0.0,20.0,0.0,0.0,60.0,0.0,0.0,0.0,37254.5,0.0,-37725.660678,52.429672999999994,0.0,0.0119485,0.0,0.0,5.5881925,0.0,0.0,0.0,18650127.729102,-449.954971,2.498395,0.0,19.9880515,0.0,0.0,54.4118075,0.0,0.0,0.0
450,0,0.0,40.0,0.0,0.0,40.0,0.0,0.0,0.0,39937.5,0.0,-25872.2760815,36.1530525,0.0,0.008531500000000001,0.0,0.0,3.8180715000000003,0.0,0.0,0.0,19038642.544408,-514.6850119999999,2.5069090000000003,0.0,39.991468499999996,0.0,0.0,36.1819285,0.0,0.0,0.0
450,0,0.0,60.0,0.0,0.0,20.0,0.0,0.0,0.0,38252.0,0.0,-12502.3856385,18.026443,0.0,0.017576,0.0,0.0,1.8335995,0.0,0.0,0.0,19597160.448567502,-575.8302415,2.493875,0.0,59.982424,0.0,0.0,18.1664005,0.0,0.0,0.0
450,0,0.0,20.0,0.0,0.0,0.0,60.0,0.0,0.0,30275.0,0.0,-21899.312523,30.619467,0.0,0.0049515,0.0,0.0,0.0,3.2459555,0.0,0.0,19126111.951908,25768.2177915,2.5086440000000003,0.0,19.9950485,0.0,0.0,0.0,56.7540445,0.0,0.0
450,0,0.0,40.0,0.0,0.0,0.0,40.0,0.0,0.0,35180.5,0.0,-15641.477437500002,21.9915255,0.0,0.00578,0.0,0.0,0.0,2.3054005,0.0,0.0,19412203.0511135,16870.3241855,2.5042590000000002,0.0,39.99422,0.0,0.0,0.0,37.6945995,0.0,0.0
450,0,0.0,60.0,0.0,0.0,0.0,20.0,0.0,0.0,34518.5,0.0,-7717.1864795,11.170885,0.0,0.0244495,0.0,0.0,0.0,1.1280480000000002,0.0,0.0,19730031.017467,8144.3013335,2.498298,0.0,59.9755505,0.0,0.0,0.0,18.871952,0.0,0.0
450,0,0.0,20.0,0.0,0.0,0.0,0.0,375.0,0.0,19033.0,0.0,-1059.006748,16.5611875,0.0,0.047039000000000004,0.0,0.0,0.0,0.0,1.6377095,0.0,3452977.005775,-483.81597550000004,71.161179,0.0,19.952961000000002,0.0,0.0,0.0,0.0,373.3622905,0.0
450,0,0.0,40.0,0.0,0.0,0.0,0.0,250.0,0.0,20788.0,0.0,-367.17444950000004,5.1287780000000005,0.0,0.0226125,0.0,0.0,0.0,0.0,0.49581149999999996,0.0,7603552.3114505,-563.1243765,23.719214,0.0,39.9773875,0.0,0.0,0.0,0.0,249.5041885,0.0
450,0,0.0,60.0,0.0,0.0,0.0,0.0,125.0,0.0,27825.0,0.0,-179.160826,1.622508,0.0,0.019057499999999998,0.0,0.0,0.0,0.0,0.145169,0.0,13176371.9668705,-596.598938,8.7538775,0.0,59.9809425,0.0,0.0,0.0,0.0,124.85483099999999,0.0
450,0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,112.0,59456.0,0.0,-5244.609493,16.8770575,0.0,0.004723,0.0,0.0,0.0,0.0,0.0,1.696888,32614952.862784497,-136.99645950000001,2.495969,0.0,19.995277,0.0,0.0,0.0,0.0,0.0,110.303112
450,0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,75.0,42064.0,0.0,-4114.8739285,13.2541025,0.0,0.0161405,0.0,0.0,0.0,0.0,0.0,1.304888,28456037.823629,-237.8171155,2.501973,0.0,39.9838595,0.0,0.0,0.0,0.0,0.0,73.695112
450,0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,38.0,42637.0,0.0,-2463.4508135,7.7238735,0.0,0.014904500000000001,0.0,0.0,0.0,0.0,0.0,0.77232,24345474.0055585,-368.38595799999996,2.4962625000000003,0.0,59.9850955,0.0,0.0,0.0,0.0,0.0,37.22768
450,0,0.0,0.0,20.0,60.0,0.0,0.0,0.0,0.0,35740.5,0.0,-47684.5776665,71.329294,0.0,0.0,2.363288,5.385918500000001,0.0,0.0,0.0,0.0,18126063.0309565,-316.8890895,2.4988064999999997,0.0,0.0,17.636712000000003,54.6140815,0.0,0.0,0.0,0.0
450,0,0.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,36768.5,0.0,-54307.0044875,72.000124,0.0,0.0,4.615857500000001,3.4937135,0.0,0.0,0.0,0.0,18039769.658607997,-390.233151,2.4996159999999996,0.0,0.0,35.384142499999996,36.5062865,0.0,0.0,0.0,0.0
450,0,0.0,0.0,60.0,20.0,0.0,0.0,0.0,0.0,36858.5,0.0,-67809.83747,78.6961175,0.0,0.0,7.57919,1.8267660000000001,0.0,0.0,0.0,0.0,17709891.9279655,-463.4030545,2.491663,0.0,0.0,52.42081,18.173234,0.0,0.0,0.0,0.0
450,0,0.0,0.0,20.0,0.0,60.0,0.0,0.0,0.0,37246.0,0.0,-56855.749295500005,72.3140495,0.0,0.0,2.1309845,0.0,6.016254,0.0,0.0,0.0,17986630.0343185,-437.6900355,2.503466,0.0,0.0,17.8690155,0.0,53.983746,0.0,0.0,0.0
450,0,0.0,0.0,40.0,0.0,40.0,0.0,0.0,0.0,36529.5,0.0,-63562.395438499996,75.8554295,0.0,0.0,4.847021,0.0,3.9536355,0.0,0.0,0.0,17850436.3841635,-454.17924700000003,2.4950514999999998,0.0,0.0,35.152979,0.0,36.046364499999996,0.0,0.0,0.0
