Path,Cycles,Box 0 volume,Box 0 energy,Box 0 pressure,Box 0 mol 0,Box 0 mol 1,Box 0 mol 2,Box 0 mol 3,Box 0 mol 4,Box 0 mol 5,Box 0 mol 6,Box 0 mol 7,Box 1 volume,Box 1 energy,Box 1 pressure,Box 1 mol 0,Box 1 mol 1,Box 1 mol 2,Box 1 mol 3,Box 1 mol 4,Box 1 mol 5,Box 1 mol 6,Box 1 mol 7
simulations/P2-T6-X51/2,34570,0.000000,-33718.403853,81.154163,0.000000,0.000000,2.178507,0.000000,2.775036,0.000000,0.000000,0.000000,179895.403729,-25981.520767,396.316064,0.000000,0.000000,37.821493,0.000000,37.224964,0.000000,0.000000,0.000000
simulations/P3-T6-X51/1,34430,0.000000,-53278.502335,126.860258,0.000000,0.000000,3.220186,0.000000,4.666570,0.000000,0.000000,0.000000,75214.664448,-55225.053994,811.868964,0.000000,0.000000,36.779814,0.000000,35.333430,0.000000,0.000000,0.000000
simulations/P3-T6-X51/2,36450,0.000000,-54282.605372,128.315525,0.000000,0.000000,3.311578,0.000000,4.675995,0.000000,0.000000,0.000000,74171.774101,-55548.514266,797.051032,0.000000,0.000000,36.688422,0.000000,35.324005,0.000000,0.000000,0.000000
simulations/P0-T7-X51/1,38989,0.000000,-2758.045573,8.274057,0.000000,0.000000,0.158224,0.000000,0.265896,0.000000,0.000000,0.000000,988126.458706,-5042.242064,100.096082,0.000000,0.000000,39.841776,0.000000,39.734104,0.000000,0.000000,0.000000
simulations/P0-T7-X51/2,36910,0.000000,-2616.734520,7.727230,0.000000,0.000000,0.154077,0.000000,0.251233,0.000000,0.000000,0.000000,982343.559285,-5020.791888,100.295616,0.000000,0.000000,39.845923,0.000000,39.748767,0.000000,0.000000,0.000000
simulations/P1-T7-X51/1,36832,0.000000,-5197.143609,15.433313,0.000000,0.000000,0.288146,0.000000,0.517186,0.000000,0.000000,0.000000,481352.682043,-10006.845299,201.079849,0.000000,0.000000,39.711854,0.000000,39.482814,0.000000,0.000000,0.000000
simulations/P1-T7-X51/2,40886,0.000000,-5641.349461,16.806222,0.000000,0.000000,0.349631,0.000000,0.508194,0.000000,0.000000,0.000000,481777.072584,-10047.853288,200.399044,0.000000,0.000000,39.650369,0.000000,39.491806,0.000000,0.000000,0.000000
simulations/P2-T7-X51/1,31216,0.000000,-10808.729281,31.567115,0.000000,0.000000,0.647841,0.000000,1.002018,0.000000,0.000000,0.000000,230511.328637,-20315.437740,400.409934,0.000000,0.000000,39.352159,0.000000,38.997982,0.000000,0.000000,0.000000
simulations/P2-T7-X51/2,35412,0.000000,-9265.111968,28.043980,0.000000,0.000000,0.517311,0.000000,0.928584,0.000000,0.000000,0.000000,229848.843869,-20678.542378,402.340673,0.000000,0.000000,39.482689,0.000000,39.071416,0.000000,0.000000,0.000000
simulations/P3-T7-X51/1,33618,0.000000,-18665.729352,55.367163,0.000000,0.000000,1.021030,0.000000,1.844429,0.000000,0.000000,0.000000,108182.583341,-41079.420995,815.163460,0.000000,0.000000,38.978970,0.000000,38.155571,0.000000,0.000000,0.000000
simulations/P3-T7-X51/2,33817,0.000000,-19331.301552,57.333045,0.000000,0.000000,1.110152,0.000000,1.865482,0.000000,0.000000,0.000000,107733.538312,-41262.052962,806.555752,0.000000,0.000000,38.889848,0.000000,38.134518,0.000000,0.000000,0.000000
simulations/P0-T0-X52/1,39693,0.000000,-270782.215252,166.259632,0.000000,0.000000,27.810218,0.000000,6.221777,0.000000,0.000000,0.000000,11612934.151853,-349.755130,2.501483,0.000000,0.000000,32.189782,0.000000,13.778223,0.000000,0.000000,0.000000
simulations/P0-T0-X52/2,42046,0.000000,-272178.056652,163.975113,0.000000,0.000000,28.195809,0.000000,6.009823,0.000000,0.000000,0.000000,11582708.562589,-300.641443,2.490959,0.000000,0.000000,31.804191,0.000000,13.990177,0.000000,0.000000,0.000000
simulations/P1-T0-X52/1,37447,0.000000,-321023.743691,158.879784,0.000000,0.000000,32.259140,0.000000,8.143803,0.000000,0.000000,0.000000,4976242.340523,-595.865294,5.010905,0.000000,0.000000,27.740860,0.000000,11.856197,0.000000,0.000000,0.000000
simulations/P1-T0-X52/2,42530,0.000000,-320682.606160,165.180820,0.000000,0.000000,32.830802,0.000000,7.369621,0.000000,0.000000,0.000000,5024589.875043,-567.703994,4.977501,0.000000,0.000000,27.169198,0.000000,12.630379,0.000000,0.000000,0.000000
simulations/P2-T0-X52/1,44339,0.000000,-349818.257065,164.122950,0.000000,0.000000,34.824173,0.000000,9.102506,0.000000,0.000000,0.000000,2249802.756963,-1090.293597,9.962014,0.000000,0.000000,25.175827,0.000000,10.897494,0.000000,0.000000,0.000000
simulations/P2-T0-X52/2,40891,0.000000,-350661.159913,160.892539,0.000000,0.000000,35.214962,0.000000,8.753320,0.000000,0.000000,0.000000,2249608.242265,-1005.270054,10.006182,0.000000,0.000000,24.785038,0.000000,11.246680,0.000000,0.000000,0.000000
