Path,Cycles,Box 0 volume,Box 0 energy,Box 0 pressure,Box 0 mol 0,Box 0 mol 1,Box 0 mol 2,Box 0 mol 3,Box 0 mol 4,Box 0 mol 5,Box 0 mol 6,Box 0 mol 7,Box 1 volume,Box 1 energy,Box 1 pressure,Box 1 mol 0,Box 1 mol 1,Box 1 mol 2,Box 1 mol 3,Box 1 mol 4,Box 1 mol 5,Box 1 mol 6,Box 1 mol 7
simulations/P1-T5-X67/2,36213,0.000000,-60675.137801,156.984032,0.000000,0.000000,0.000000,9.349433,0.000000,1.651368,0.000000,0.000000,313808.232937,1477.138125,199.062130,0.000000,0.000000,0.000000,50.650567,0.000000,18.348632,0.000000,0.000000
simulations/P2-T5-X67/1,39062,0.000000,-97249.825739,244.662293,0.000000,0.000000,0.000000,15.011930,0.000000,2.579003,0.000000,0.000000,130584.745663,-8616.578181,397.575493,0.000000,0.000000,0.000000,44.988070,0.000000,17.420997,0.000000,0.000000
simulations/P2-T5-X67/2,33309,0.000000,-96146.319523,241.098400,0.000000,0.000000,0.000000,14.880693,0.000000,2.521241,0.000000,0.000000,131402.920256,-8656.034997,399.273513,0.000000,0.000000,0.000000,45.119307,0.000000,17.478759,0.000000,0.000000
simulations/P3-T5-X67/1,35239,0.000000,-133234.226113,323.540577,0.000000,0.000000,0.000000,20.569993,0.000000,3.513323,0.000000,0.000000,49154.444161,-29600.003258,804.397108,0.000000,0.000000,0.000000,39.430007,0.000000,16.486677,0.000000,0.000000
simulations/P3-T5-X67/2,34432,0.000000,-132123.607749,323.094630,0.000000,0.000000,0.000000,20.580565,0.000000,3.336025,0.000000,0.000000,48777.378309,-30036.016400,788.179335,0.000000,0.000000,0.000000,39.419435,0.000000,16.663975,0.000000,0.000000
simulations/P0-T6-X67/1,33140,0.000000,-13862.776103,43.051160,0.000000,0.000000,0.000000,2.319101,0.000000,0.279481,0.000000,0.000000,833740.552999,8871.090475,100.024613,0.000000,0.000000,0.000000,57.680899,0.000000,19.720519,0.000000,0.000000
simulations/P0-T6-X67/2,32329,0.000000,-13908.117648,43.599314,0.000000,0.000000,0.000000,2.296050,0.000000,0.304092,0.000000,0.000000,836478.825013,8839.217997,100.177278,0.000000,0.000000,0.000000,57.703950,0.000000,19.695908,0.000000,0.000000
simulations/P1-T6-X67/1,38470,0.000000,-26154.963636,81.129659,0.000000,0.000000,0.000000,4.333897,0.000000,0.552924,0.000000,0.000000,395949.316818,4354.490798,199.307388,0.000000,0.000000,0.000000,55.666103,0.000000,19.447076,0.000000,0.000000
simulations/P1-T6-X67/2,32604,0.000000,-25771.976676,80.509273,0.000000,0.000000,0.000000,4.345479,0.000000,0.483284,0.000000,0.000000,395779.406569,4408.051769,200.040234,0.000000,0.000000,0.000000,55.654521,0.000000,19.516716,0.000000,0.000000
simulations/P2-T6-X67/1,38303,0.000000,-46271.764773,141.506625,0.000000,0.000000,0.000000,7.691147,0.000000,0.964259,0.000000,0.000000,180926.450202,-4149.805397,401.155406,0.000000,0.000000,0.000000,52.308853,0.000000,19.035741,0.000000,0.000000
simulations/P2-T6-X67/2,31785,0.000000,-45388.668847,139.570006,0.000000,0.000000,0.000000,7.624917,0.000000,0.874910,0.000000,0.000000,180496.103969,-4111.466938,401.281620,0.000000,0.000000,0.000000,52.375083,0.000000,19.125090,0.000000,0.000000
simulations/P3-T6-X67/1,36119,0.000000,-74237.988067,221.845146,0.000000,0.000000,0.000000,12.343503,0.000000,1.511753,0.000000,0.000000,76867.387488,-21170.260808,802.033239,0.000000,0.000000,0.000000,47.656497,0.000000,18.488247,0.000000,0.000000
simulations/P3-T6-X67/2,29617,0.000000,-72738.330655,217.779085,0.000000,0.000000,0.000000,12.096600,0.000000,1.508964,0.000000,0.000000,77287.560743,-20993.308949,791.223457,0.000000,0.000000,0.000000,47.903400,0.000000,18.491036,0.000000,0.000000
simulations/P0-T7-X67/1,34917,0.000000,-5174.185481,19.062301,0.000000,0.000000,0.000000,0.922846,0.000000,0.081565,0.000000,0.000000,983510.520069,10987.648124,100.029021,0.000000,0.000000,0.000000,59.077154,0.000000,19.918435,0.000000,0.000000
simulations/P0-T7-X67/2,32998,0.000000,-5109.758190,18.962183,0.000000,0.000000,0.000000,0.907813,0.000000,0.082944,0.000000,0.000000,981603.646886,10931.463831,99.793469,0.000000,0.000000,0.000000,59.092187,0.000000,19.917056,0.000000,0.000000
simulations/P1-T7-X67/1,33611,0.000000,-9792.161564,36.580420,0.000000,0.000000,0.000000,1.729672,0.000000,0.168427,0.000000,0.000000,478766.364738,7149.231113,200.037360,0.000000,0.000000,0.000000,58.270328,0.000000,19.831573,0.000000,0.000000
simulations/P1-T7-X67/2,33544,0.000000,-10642.185678,39.314545,0.000000,0.000000,0.000000,1.863344,0.000000,0.187873,0.000000,0.000000,478657.749566,7391.424598,199.113830,0.000000,0.000000,0.000000,58.136656,0.000000,19.812127,0.000000,0.000000
